frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
2255.3088,-0.0770,-3.6686,0.0954,-11.5950
2261.1667,-0.0775,-3.6775,0.0946,-11.6239
2267.0247,-0.0778,-3.6852,0.0942,-11.6529
2272.8826,-0.0782,-3.6940,0.0936,-11.6821
2278.7405,-0.0788,-3.7021,0.0929,-11.7112
2284.5985,-0.0790,-3.7102,0.0923,-11.7407
2290.4564,-0.0796,-3.7184,0.0917,-11.7695
2296.3144,-0.0800,-3.7272,0.0910,-11.7992
2302.1723,-0.0804,-3.7356,0.0905,-11.8284
2308.0303,-0.0809,-3.7431,0.0899,-11.8570
2313.8882,-0.0814,-3.7519,0.0892,-11.8876
2319.7462,-0.0818,-3.7599,0.0886,-11.9157
2325.6041,-0.0822,-3.7686,0.0880,-11.9450
2331.4620,-0.0826,-3.7766,0.0873,-11.9742
2337.3200,-0.0832,-3.7854,0.0867,-12.0045
2343.1779,-0.0835,-3.7930,0.0860,-12.0318
2349.0359,-0.0840,-3.8007,0.0853,-12.0614
2354.8938,-0.0844,-3.8098,0.0846,-12.0901
2360.7518,-0.0848,-3.8181,0.0840,-12.1199
2366.6097,-0.0853,-3.8257,0.0835,-12.1489
2372.4677,-0.0857,-3.8340,0.0828,-12.1783
2378.3256,-0.0862,-3.8432,0.0821,-12.2072
2384.1835,-0.0868,-3.8511,0.0814,-12.2371
2390.0415,-0.0872,-3.8597,0.0808,-12.2662
2395.8994,-0.0876,-3.8675,0.0802,-12.2955
2401.7574,-0.0880,-3.8752,0.0796,-12.3236
2407.6153,-0.0884,-3.8841,0.0790,-12.3534
2413.4733,-0.0889,-3.8928,0.0782,-12.3826
2419.3312,-0.0893,-3.9000,0.0775,-12.4111
2425.1892,-0.0898,-3.9092,0.0769,-12.4411
2431.0471,-0.0903,-3.9169,0.0762,-12.4703
2436.9051,-0.0907,-3.9256,0.0755,-12.4994
2442.7630,-0.0911,-3.9340,0.0748,-12.5288
2448.6209,-0.0916,-3.9407,0.0742,-12.5583
2454.4789,-0.0922,-3.9499,0.0736,-12.5862
2460.3368,-0.0926,-3.9584,0.0730,-12.6167
2466.1948,-0.0930,-3.9669,0.0723,-12.6452
2472.0527,-0.0935,-3.9749,0.0716,-12.6742
2477.9107,-0.0940,-3.9836,0.0709,-12.7038
2483.7686,-0.0945,-3.9912,0.0702,-12.7323
2489.6266,-0.0949,-3.9999,0.0695,-12.7623
2495.4845,-0.0954,-4.0085,0.0689,-12.7915
2501.3424,-0.0961,-4.0160,0.0681,-12.8208
2507.2004,-0.0963,-4.0242,0.0675,-12.8493
2513.0583,-0.0969,-4.0328,0.0668,-12.8784
2518.9163,-0.0973,-4.0409,0.0661,-12.9083
2524.7742,-0.0978,-4.0500,0.0654,-12.9374
2530.6322,-0.0982,-4.0576,0.0647,-12.9675
2536.4901,-0.0987,-4.0659,0.0640,-12.9961
2542.3481,-0.0992,-4.0740,0.0634,-13.0246
2548.2060,-0.0998,-4.0824,0.0627,-13.0549
2554.0639,-0.1002,-4.0899,0.0620,-13.0831
2559.9219,-0.1007,-4.0993,0.0612,-13.1121
2565.7798,-0.1011,-4.1079,0.0605,-13.1416
2571.6378,-0.1018,-4.1150,0.0600,-13.1711
2577.4957,-0.1020,-4.1238,0.0590,-13.2006
2583.3537,-0.1026,-4.1314,0.0583,-13.2302
2589.2116,-0.1031,-4.1401,0.0578,-13.2591
2595.0696,-0.1035,-4.1476,0.0571,-13.2886
2600.9275,-0.1041,-4.1562,0.0563,-13.3175
2606.7855,-0.1047,-4.1645,0.0556,-13.3458
2612.6434,-0.1052,-4.1727,0.0550,-13.3754
2618.5013,-0.1056,-4.1817,0.0542,-13.4047
2624.3593,-0.1062,-4.1889,0.0534,-13.4345
2630.2172,-0.1066,-4.1971,0.0527,-13.4630
2636.0752,-0.1071,-4.2054,0.0521,-13.4920
2641.9331,-0.1076,-4.2135,0.0513,-13.5215
2647.7911,-0.1080,-4.2216,0.0505,-13.5509
2653.6490,-0.1087,-4.2310,0.0497,-13.5791
2659.5070,-0.1091,-4.2391,0.0491,-13.6090
2665.3649,-0.1095,-4.2465,0.0485,-13.6381
2671.2228,-0.1101,-4.2545,0.0475,-13.6677
2677.0808,-0.1107,-4.2635,0.0469,-13.6975
2682.9387,-0.1111,-4.2711,0.0463,-13.7269
2688.7967,-0.1116,-4.2793,0.0454,-13.7553
2694.6546,-0.1121,-4.2875,0.0447,-13.7842
2700.5126,-0.1126,-4.2963,0.0440,-13.8128
2706.3705,-0.1132,-4.3046,0.0433,-13.8427
2712.2285,-0.1138,-4.3124,0.0425,-13.8709
2718.0864,-0.1143,-4.3205,0.0418,-13.9011
2723.9443,-0.1148,-4.3290,0.0410,-13.9309
