frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
1886.2582,0.1016,-24.5753,0.1016,-24.5753
1892.1162,0.1011,-24.6503,0.1011,-24.6503
1897.9741,0.1006,-24.7252,0.1006,-24.7252
1903.8321,0.1001,-24.8002,0.1001,-24.8002
1909.6900,0.0996,-24.8752,0.0996,-24.8752
1915.5480,0.0991,-24.9502,0.0991,-24.9502
1921.4059,0.0986,-25.0252,0.0986,-25.0252
1927.2639,0.0981,-25.1002,0.0981,-25.1002
1933.1218,0.0977,-25.1751,0.0977,-25.1751
1938.9797,0.0972,-25.2501,0.0972,-25.2501
1944.8377,0.0967,-25.3251,0.0967,-25.3251
1950.6956,0.0962,-25.4001,0.0962,-25.4001
1956.5536,0.0957,-25.4751,0.0957,-25.4751
1962.4115,0.0952,-25.5501,0.0952,-25.5501
1968.2695,0.0947,-25.6252,0.0947,-25.6252
1974.1274,0.0941,-25.7002,0.0941,-25.7002
1979.9854,0.0936,-25.7752,0.0936,-25.7752
1985.8433,0.0931,-25.8502,0.0931,-25.8502
1991.7012,0.0926,-25.9252,0.0926,-25.9252
1997.5592,0.0921,-26.0002,0.0921,-26.0002
2003.4171,0.0916,-26.0753,0.0916,-26.0753
2009.2751,0.0911,-26.1503,0.0911,-26.1503
2015.1330,0.0906,-26.2253,0.0906,-26.2253
2020.9910,0.0900,-26.3003,0.0900,-26.3003
2026.8489,0.0895,-26.3754,0.0895,-26.3754
2032.7069,0.0890,-26.4504,0.0890,-26.4504
2038.5648,0.0885,-26.5254,0.0885,-26.5254
2044.4227,0.0880,-26.6005,0.0880,-26.6005
2050.2807,0.0874,-26.6755,0.0874,-26.6755
2056.1386,0.0869,-26.7506,0.0869,-26.7506
2061.9966,0.0864,-26.8256,0.0864,-26.8256
2067.8545,0.0858,-26.9007,0.0858,-26.9007
2073.7125,0.0853,-26.9757,0.0853,-26.9757
2079.5704,0.0848,-27.0508,0.0848,-27.0508
2085.4284,0.0842,-27.1258,0.0842,-27.1258
2091.2863,0.0837,-27.2009,0.0837,-27.2009
2097.1443,0.0832,-27.2759,0.0832,-27.2759
2103.0022,0.0826,-27.3510,0.0826,-27.3510
2108.8601,0.0821,-27.4261,0.0821,-27.4261
2114.7181,0.0815,-27.5011,0.0815,-27.5011
2120.5760,0.0810,-27.5762,0.0810,-27.5762
2126.4340,0.0804,-27.6513,0.0804,-27.6513
2132.2919,0.0799,-27.7264,0.0799,-27.7264
2138.1499,0.0793,-27.8014,0.0793,-27.8014
2144.0078,0.0788,-27.8765,0.0788,-27.8765
2149.8658,0.0782,-27.9516,0.0782,-27.9516
2155.7237,0.0777,-28.0267,0.0777,-28.0267
2161.5816,0.0771,-28.1017,0.0771,-28.1017
2167.4396,0.0766,-28.1768,0.0766,-28.1768
2173.2975,0.0760,-28.2519,0.0760,-28.2519
2179.1555,0.0754,-28.3270,0.0754,-28.3270
2185.0134,0.0749,-28.4021,0.0749,-28.4021
2190.8714,0.0743,-28.4772,0.0743,-28.4772
2196.7293,0.0737,-28.5523,0.0737,-28.5523
2202.5873,0.0732,-28.6274,0.0732,-28.6274
2208.4452,0.0726,-28.7025,0.0726,-28.7025
2214.3031,0.0720,-28.7776,0.0720,-28.7776
2220.1611,0.0715,-28.8527,0.0715,-28.8527
2226.0190,0.0709,-28.9278,0.0709,-28.9278
2231.8770,0.0703,-29.0029,0.0703,-29.0029
2237.7349,0.0697,-29.0780,0.0697,-29.0780
2243.5929,0.0692,-29.1531,0.0692,-29.1531
2249.4508,0.0686,-29.2282,0.0686,-29.2282
2255.3088,0.0680,-29.3033,0.0680,-29.3033
2261.1667,0.0674,-29.3784,0.0674,-29.3784
2267.0247,0.0668,-29.4535,0.0668,-29.4535
2272.8826,0.0662,-29.5286,0.0662,-29.5286
2278.7405,0.0657,-29.6038,0.0657,-29.6038
2284.5985,0.0651,-29.6789,0.0651,-29.6789
2290.4564,0.0645,-29.7540,0.0645,-29.7540
2296.3144,0.0639,-29.8291,0.0639,-29.8291
2302.1723,0.0633,-29.9042,0.0633,-29.9042
2308.0303,0.0627,-29.9793,0.0627,-29.9793
2313.8882,0.0621,-30.0545,0.0621,-30.0545
2319.7462,0.0615,-30.1296,0.0615,-30.1296
2325.6041,0.0609,-30.2047,0.0609,-30.2047
2331.4620,0.0603,-30.2798,0.0603,-30.2798
2337.3200,0.0597,-30.3550,0.0597,-30.3550
2343.1779,0.0591,-30.4301,0.0591,-30.4301
2349.0359,0.0585,-30.5052,0.0585,-30.5052
2354.8938,0.0579,-30.5804,0.0579,-30.5804
2360.7518,0.0573,-30.6555,0.0573,-30.6555
2366.6097,0.0566,-30.7306,0.0566,-30.7306
2372.4677,0.0560,-30.8058,0.0560,-30.8058
2378.3256,0.0554,-30.8809,0.0554,-30.8809
2384.1835,0.0548,-30.9560,0.0548,-30.9560
2390.0415,0.0542,-31.0312,0.0542,-31.0312
2395.8994,0.0536,-31.1063,0.0536,-31.1063
2401.7574,0.0529,-31.1814,0.0529,-31.1814
2407.6153,0.0523,-31.2566,0.0523,-31.2566
2413.4733,0.0517,-31.3317,0.0517,-31.3317
2419.3312,0.0511,-31.4069,0.0511,-31.4069
